Trip ID,Origin city,Destination,Region,Distance (km),Start date,End date,Duration (days),Traveler age,Traveler gender,Traveler nationality,Group size,Trip type,Accommodation type,Accommodation cost,Transportation type,Transportation cost,Food cost,Activities cost,Total cost,Season,Currency
1,Bhimber,Muzaffargarh,Punjab,445,08/09/2025,12/09/2025,4,32,Male,Foreign,1,Leisure,Mid,27610,Flight,6191,5425,3065,42291,Autumn,PKR
2,Nazir Town,Blind Lake,Gilgit-Baltistan,403,13/07/2026,23/07/2026,10,44,Male,Pakistani,5,Business,Luxury,666360,Road (Hiace),43295,172650,146450,1028755,Summer,PKR
3,Kahror Pakka,Renala Khurd,Punjab,247,19/12/2025,23/12/2025,4,56,Male,Pakistani,6,Family,Mid,109200,Road (Hiace),25328,30720,27960,193208,Winter,PKR
4,Vehari,Shrine of Shah Abdul Latif Bhittai,Sindh,764,23/03/2025,27/03/2025,4,32,Male,Pakistani,3,Family,Mid,79904,Flight,30283,20796,14148,145131,Spring,PKR
5,Sharda,Phalia,Punjab,278,01/07/2026,04/07/2026,3,64,Male,Pakistani,4,Family,Budget,23370,Road (Car (Small)),12351,14040,4944,54705,Summer,PKR
6,Chuhar Jamali,Dunyapur,Punjab,823,05/08/2025,07/08/2025,2,54,Female,Pakistani,2,Family,Mid,22532,Flight,19238,6676,2984,51430,Summer,PKR
7,Harnai,Gindai Gol,Gilgit-Baltistan,1052,22/08/2026,01/09/2026,10,45,Female,Pakistani,3,Adventure,Luxury,530640,Flight,34620,146610,75300,787170,Summer,PKR
8,Muzaffarabad,Galyat,KPK,34,09/03/2026,19/03/2026,10,56,Male,Pakistani,4,Family,Mid,250640,Road (Hiace),3243,60920,59840,374643,Spring,PKR
9,Mithi,Malakwal,Punjab,1091,04/01/2025,09/01/2025,5,64,Female,Pakistani,5,Adventure,Mid,103065,Flight,71461,52275,31000,257801,Winter,PKR
10,Yasin,Sargodha,Punjab,520,15/06/2025,19/06/2025,4,52,Female,Pakistani,1,Business,Mid,27664,Road (Hiace),54456,8604,3884,94608,Summer,PKR
11,Shahrig,Garam Chashma,KPK,1094,13/05/2026,18/05/2026,5,22,Female,Pakistani,2,Adventure,Mid,62515,Flight,28408,18380,10710,120013,Spring,PKR
12,Mamu Kanjan,Haldik,Gilgit-Baltistan,849,08/12/2026,18/12/2026,10,30,Female,Pakistani,4,Business,Mid,244780,Flight,37459,96960,36920,416119,Winter,PKR
13,Rahim Yar Khan,Chuprial,KPK,1000,26/08/2026,01/09/2026,6,32,Male,Pakistani,6,Leisure,Budget,56304,Flight,70815,40968,15696,183783,Summer,PKR
14,Hub,Gulapur,Gilgit-Baltistan,1474,14/08/2026,23/08/2026,9,48,Male,Pakistani,4,Adventure,Budget,85770,Flight,82012,41832,22176,231790,Summer,PKR
15,Chikkar,Pir Ghaib Waterfall,Balochistan,1125,04/03/2025,06/03/2025,2,43,Female,Pakistani,1,Adventure,Budget,11392,Flight,13278,2718,1142,28530,Spring,PKR
16,Badin,Langar,KPK,1777,30/03/2026,04/04/2026,5,53,Male,Pakistani,6,Leisure,Luxury,446175,Flight,123353,104430,69960,743918,Spring,PKR
17,Swabi,Urak Valley,Balochistan,902,24/01/2026,27/01/2026,3,18,Male,Pakistani,4,Business,Mid,77904,Road (Car (SUV)),61650,30456,17724,187734,Winter,PKR
18,Bela,Dhandh Wildlife Sanctuary,Sindh,224,28/02/2025,04/03/2025,4,21,Female,Pakistani,5,Adventure,Budget,66960,Flight,14495,19640,18700,119795,Winter,PKR
19,Mirpur Khas,Satpara Lake,Gilgit-Baltistan,1452,10/09/2025,19/09/2025,9,55,Female,Pakistani,5,Leisure,Mid,345087,Flight,85223,119565,60075,609950,Autumn,PKR
20,Keti Bunder,Bubind,Gilgit-Baltistan,1666,15/05/2025,23/05/2025,8,60,Female,Pakistani,4,Business,Luxury,390032,Flight,85477,90816,78016,644341,Spring,PKR
21,chishtian,Mingora,KPK,719,03/06/2026,09/06/2026,6,34,Male,Pakistani,1,Adventure,Mid,55752,Flight,8548,14382,9918,88600,Summer,PKR
22,Chikkar,Nankana Sahib,Punjab,366,11/11/2026,15/11/2026,4,24,Male,Pakistani,1,Leisure,Mid,29092,Road (Hiace),41506,5912,3552,80062,Autumn,PKR
