Trip ID,Destination,Region,Start date,End date,Duration (days),Traveler age,Traveler gender,Traveler nationality,Group size,Trip type,Accommodation type,Accommodation cost,Transportation type,Transportation cost,Food cost,Activities cost,Total cost,Season,Currency
1,Kuz Bandai,KPK,2026-12-16,2026-12-23,7,54,Female,Pakistani,5,Business,Mid,58401,Road,34663,128905,11116,233085,Winter,PKR
2,Dera Ismail Khan,KPK,2026-01-29,2026-02-01,3,55,Male,Foreign,1,Family,Mid,38109,Road,11310,9978,7305,66702,Winter,PKR
3,Mahodand Lake,KPK,2025-12-16,2025-12-22,6,43,Female,Pakistani,3,Business,Budget,24798,Road,12544,38520,6858,82720,Winter,PKR
4,Hangu,KPK,2026-01-29,2026-02-02,4,30,Female,Foreign,5,Adventure,Luxury,117916,Flight,181030,85740,16764,401450,Winter,PKR
5,Arif Wala,Punjab,2026-04-03,2026-04-12,9,35,Male,Pakistani,1,Business,Luxury,168741,Road,34200,52470,19863,275274,Spring,PKR
6,Timargara (Lower Dir),KPK,2026-04-29,2026-05-02,3,44,Male,Pakistani,4,Adventure,Mid,31380,Road,8544,38448,3186,81558,Spring,PKR
7,Gandhara,KPK,2025-10-17,2025-10-25,8,49,Female,Pakistani,1,Adventure,Budget,27144,Road,540,12456,8312,48452,Autumn,PKR
8,Hispar Glacier,Gilgit-Baltistan,2026-01-21,2026-01-31,10,19,Female,Foreign,3,Leisure,Luxury,315120,Road,27192,146370,22250,510932,Winter,PKR
9,Kallar Kahar,Punjab,2025-04-28,2025-05-04,6,22,Female,Pakistani,3,Adventure,Budget,17634,Road,5836,35532,5046,64048,Spring,PKR
10,Gupis Valley,Gilgit-Baltistan,2025-02-19,2025-03-01,10,51,Female,Pakistani,2,Adventure,Budget,54500,Road,17000,26580,5800,103880,Winter,PKR
11,Attabad Lake,Gilgit-Baltistan,2025-10-25,2025-10-29,4,52,Female,Pakistani,2,Adventure,Mid,39852,Flight,42798,31768,8912,123330,Autumn,PKR
12,Naltar Valley,Gilgit-Baltistan,2025-01-20,2025-01-26,6,25,Male,Foreign,4,Family,Mid,79344,Flight,67604,95928,10656,253532,Winter,PKR
13,Naltar Valley,Gilgit-Baltistan,2025-01-29,2025-02-03,5,60,Female,Pakistani,5,Adventure,Luxury,133405,Road,10067,124400,22530,290402,Winter,PKR
14,Gwadar Marine Drive,Balochistan,2026-09-24,2026-09-30,6,53,Female,Foreign,3,Family,Mid,76230,Road,17827,51372,6942,152371,Autumn,PKR
15,Hispar Glacier,Gilgit-Baltistan,2025-09-04,2025-09-10,6,29,Female,Foreign,1,Business,Luxury,145632,Road,3536,38406,18780,206354,Autumn,PKR
